localidade,coluna_idx,valor
Pernambuco,19,98.07
Pernambuco,20,92.8
Pernambuco,21,98.26
Pernambuco,22,84.67
Pernambuco,23,77.89
Pernambuco,24,84.96
Pernambuco,25,24.13
Pernambuco,26,24.37
Pernambuco,27,24.12
Pernambuco,28,5.01
Pernambuco,29,4.08
Pernambuco,30,5.11
Pernambuco,31,24.09
Pernambuco,32,10.34
Pernambuco,33,25.71
Pernambuco,34,98.3
Pernambuco,35,92.72
Pernambuco,36,98.48
Pernambuco,37,84.83
Pernambuco,38,83.02
Pernambuco,39,84.91
Pernambuco,40,26.52
Pernambuco,41,26.68
Pernambuco,42,26.51
Pernambuco,43,5.96
Pernambuco,44,4.44
Pernambuco,45,6.19
Alagoas,1,27.69
Alagoas,2,12.63
Alagoas,3,29.38
Alagoas,4,97.92
Alagoas,5,90.35
Alagoas,6,98.18
Alagoas,7,85.12
Alagoas,8,77.64
Alagoas,9,85.46
Alagoas,10,26.83
Alagoas,11,26.44
Alagoas,12,26.85
Alagoas,13,6.94
Alagoas,14,5.63
Alagoas,15,7.14
Alagoas,16,28.1
Alagoas,17,13.34
Alagoas,18,29.5
Alagoas,19,97.91
Alagoas,20,88.79
Alagoas,21,98.24
Alagoas,22,85.29
Alagoas,23,76.14
Alagoas,24,85.71
Alagoas,25,25.35
Alagoas,26,22.63
Alagoas,27,25.46
Alagoas,28,5.79
Alagoas,29,4.44
Alagoas,30,5.96
Alagoas,31,27.32
Alagoas,32,12.13
Alagoas,33,29.27
Alagoas,34,97.93
Alagoas,35,92.25
Alagoas,36,98.11
Alagoas,37,84.95
Alagoas,38,79.32
Alagoas,39,85.19
Alagoas,40,28.29
Alagoas,41,29.65
Alagoas,42,28.23
Alagoas,43,7.93
Alagoas,44,6.4
Alagoas,45,8.2
Sergipe,1,25.8
Sergipe,2,10.48
Sergipe,3,27.32
Sergipe,4,98.55
Sergipe,5,92.64
Sergipe,6,98.74
Sergipe,7,88.22
Sergipe,8,81.09
Sergipe,9,88.48
Sergipe,10,29.62
Sergipe,11,26.99
Sergipe,12,29.73
Sergipe,13,5.06
Sergipe,14,3.31
Sergipe,15,5.29
Sergipe,16,26.69
Sergipe,17,12.04
Sergipe,18,27.92
Sergipe,19,98.49
Sergipe,20,93.48
Sergipe,21,98.66
Sergipe,22,87.95
Sergipe,23,75.79
Sergipe,24,88.41
Sergipe,25,28.28
Sergipe,26,27.48
Sergipe,27,28.31
Sergipe,28,4.63
Sergipe,29,2.91
Sergipe,30,4.82
Sergipe,31,24.99
Sergipe,32,9.4
Sergipe,33,26.77
Sergipe,34,98.62
Sergipe,35,91.71
Sergipe,36,98.83
Sergipe,37,88.48
